datasetKey,datasetTitle,datasetDOI,datasetLicense,publisherKey,publisher
50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist Research-grade Observations,10.15468/ab3s5x,http://creativecommons.org/licenses/by-nc/4.0/legalcode,28eb1a3f-1c15-4a95-931a-4af90ecb574d,iNaturalist.org
e96fe4cb-0770-4514-abc2-f0dde2ed52b4,Palacký University Olomouc - Herbarium OL,10.15468/bxms8d,http://creativecommons.org/licenses/by/4.0/legalcode,4c22b91d-aea3-46ba-8b43-3151fb0776fb,"Palacký University in Olomouc, herbarium of Department of Botany (OL)"
8a863029-f435-446a-821e-275f4f641165,"Observation.org, Nature data from around the World",10.15468/5nilie,http://creativecommons.org/licenses/by-nc/4.0/legalcode,c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f,Observation.org
d8cd16ba-bb74-4420-821e-083f2bac17c2,INSDC Sequences,10.15468/sbmztx,http://creativecommons.org/licenses/by/4.0/legalcode,ada9d123-ddb4-467d-8891-806ea8d94230,European Nucleotide Archive (EMBL-EBI)
5a0e04be-8c60-4c92-8ae1-d19ef71d45ca,An open occurrence dataset for European subterranean spiders,10.15468/f4xjdb,http://creativecommons.org/licenses/by/4.0/legalcode,e8f79b81-11bb-4881-9f42-1b46bd4cfbc6,Consiglio Nazionale delle Ricerche - Istituto di Ricerca sulle Acque
905daf20-04fd-11df-8c28-b8a03c50a862,Herbarium of Umeå University (UME),10.15468/gatdg4,http://creativecommons.org/publicdomain/zero/1.0/legalcode,065e3c2a-35f3-44f6-9ae0-ee5d1f19eec5,Umeå University
040c5662-da76-4782-a48e-cdea1892d14c,International Barcode of Life project (iBOL),10.15468/inygc6,http://creativecommons.org/licenses/by/4.0/legalcode,b3bf3a83-1f68-4541-a03f-330d30d567f5,The International Barcode of Life Consortium
43411a7a-1503-4391-9791-e33801752053,VectorDistributionStatus_2026,10.15468/7e3bwm,http://creativecommons.org/licenses/by/4.0/legalcode,8f9f9814-a595-4bc3-8631-776ba3c9c62e,VectorNet
82a65706-f762-11e1-a439-00145eb45e9a,"Amphibian, Reptile Collection (MHNG-HERP) of Muséum d'histoire naturelle de Genève",10.15468/iftvxc,http://creativecommons.org/licenses/by/4.0/legalcode,9661d20d-86b6-4485-8948-f3c86b022fa7,Swiss Natural History Collections - SwissNatColl
ae329700-43ce-4bbe-9e60-dd8140ca8ca7,Herbarium PR,10.15468/nkm7fr,http://creativecommons.org/licenses/by/4.0/legalcode,17e8fde5-9144-49c8-a893-87138e95b0b7,National Museum in Prague
