scientific_name,directive,annex,priority,listing_type,gbif_usage_key,gbif_species_key,match_type,matched_rank,kingdom,class,genus,alternative_name,source_celex,verbatim_entry
Accipiter brevipes,Birds,I,FALSE,taxon,2480578,2480578,EXACT,SPECIES,Animalia,Aves,Accipiter,,02009L0147-20190626,Accipiter brevipes
Accipiter gentilis arrigonii,Birds,I,FALSE,taxon,4408405,2480589,EXACT,SUBSPECIES,Animalia,Aves,Accipiter,,02009L0147-20190626,Accipiter gentilis arrigonii
Accipiter nisus granti,Birds,I,FALSE,taxon,4408410,2480637,EXACT,SUBSPECIES,Animalia,Aves,Accipiter,,02009L0147-20190626,Accipiter nisus granti
Acrocephalus melanopogon,Birds,I,FALSE,taxon,2493124,2493124,EXACT,SPECIES,Animalia,Aves,Acrocephalus,,02009L0147-20190626,Acrocephalus melanopogon
Acrocephalus paludicola,Birds,I,FALSE,taxon,2493114,2493114,EXACT,SPECIES,Animalia,Aves,Acrocephalus,,02009L0147-20190626,Acrocephalus paludicola
Aegolius funereus,Birds,I,FALSE,taxon,5739298,5739298,EXACT,SPECIES,Animalia,Aves,Aegolius,,02009L0147-20190626,Aegolius funereus
Aegypius monachus,Birds,I,FALSE,taxon,5229165,5229165,EXACT,SPECIES,Animalia,Aves,Aegypius,,02009L0147-20190626,Aegypius monachus
Alcedo atthis,Birds,I,FALSE,taxon,2475532,2475532,EXACT,SPECIES,Animalia,Aves,Alcedo,,02009L0147-20190626,Alcedo atthis
Alectoris barbara,Birds,I,FALSE,taxon,2474045,2474045,EXACT,SPECIES,Animalia,Aves,Alectoris,,02009L0147-20190626,Alectoris barbara
Alectoris graeca,Birds,I,FALSE,taxon,2474055,2474055,EXACT,SPECIES,Animalia,Aves,Alectoris,,02009L0147-20190626,Alectoris graeca
Anser albifrons flavirostris,Birds,I,FALSE,taxon,6178325,2498017,EXACT,SUBSPECIES,Animalia,Aves,Anser,,02009L0147-20190626,Anser albifrons flavirostris
Anser erythropus,Birds,I,FALSE,taxon,2498026,2498026,EXACT,SPECIES,Animalia,Aves,Anser,,02009L0147-20190626,Anser erythropus
Anthus campestris,Birds,I,FALSE,taxon,2490274,2490274,EXACT,SPECIES,Animalia,Aves,Anthus,,02009L0147-20190626,Anthus campestris
Apus caffer,Birds,I,FALSE,taxon,5228644,5228644,EXACT,SPECIES,Animalia,Aves,Apus,,02009L0147-20190626,Apus caffer
Aquila adalberti,Birds,I,FALSE,taxon,2480510,2480510,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila adalberti
Aquila chrysaetos,Birds,I,FALSE,taxon,2480506,2480506,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila chrysaetos
Aquila clanga,Birds,I,FALSE,taxon,2480509,2480509,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila clanga
Aquila heliaca,Birds,I,FALSE,taxon,2480500,2480500,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila heliaca
Aquila pomarina,Birds,I,FALSE,taxon,2480505,2480505,EXACT,SPECIES,Animalia,Aves,Aquila,,02009L0147-20190626,Aquila pomarina
Ardea purpurea,Birds,I,FALSE,taxon,2480934,2480934,EXACT,SPECIES,Animalia,Aves,Ardea,,02009L0147-20190626,Ardea purpurea
Ardeola ralloides,Birds,I,FALSE,taxon,2480906,2480906,EXACT,SPECIES,Animalia,Aves,Ardeola,,02009L0147-20190626,Ardeola ralloides
Asio flammeus,Birds,I,FALSE,taxon,2497295,2497295,EXACT,SPECIES,Animalia,Aves,Asio,,02009L0147-20190626,Asio flammeus
Aythya nyroca,Birds,I,FALSE,taxon,2498259,2498259,EXACT,SPECIES,Animalia,Aves,Aythya,,02009L0147-20190626,Aythya nyroca
Bonasa bonasia,Birds,I,FALSE,taxon,2473671,2473663,EXACT,SPECIES,Animalia,Aves,Tetrastes,,02009L0147-20190626,Bonasa bonasia
Botaurus stellaris,Birds,I,FALSE,taxon,2480910,2480910,EXACT,SPECIES,Animalia,Aves,Botaurus,,02009L0147-20190626,Botaurus stellaris
Branta leucopsis,Birds,I,FALSE,taxon,5232464,5232464,EXACT,SPECIES,Animalia,Aves,Branta,,02009L0147-20190626,Branta leucopsis
Branta ruficollis,Birds,I,FALSE,taxon,5232451,5232451,EXACT,SPECIES,Animalia,Aves,Branta,,02009L0147-20190626,Branta ruficollis
Bubo bubo,Birds,I,FALSE,taxon,5959092,5959092,EXACT,SPECIES,Animalia,Aves,Bubo,,02009L0147-20190626,Bubo bubo
Bucanetes githagineus,Birds,I,FALSE,taxon,2494394,2494394,EXACT,SPECIES,Animalia,Aves,Bucanetes,,02009L0147-20190626,Bucanetes githagineus
Bulweria bulwerii,Birds,I,FALSE,taxon,2481606,2481606,EXACT,SPECIES,Animalia,Aves,Bulweria,,02009L0147-20190626,Bulweria bulwerii
Burhinus oedicnemus,Birds,I,FALSE,taxon,2482100,2482100,EXACT,SPECIES,Animalia,Aves,Burhinus,,02009L0147-20190626,Burhinus oedicnemus
Buteo rufinus,Birds,I,FALSE,taxon,2480564,2480564,EXACT,SPECIES,Animalia,Aves,Buteo,,02009L0147-20190626,Buteo rufinus
Calandrella brachydactyla,Birds,I,FALSE,taxon,2490681,2490681,EXACT,SPECIES,Animalia,Aves,Calandrella,,02009L0147-20190626,Calandrella brachydactyla
Calidris alpina schinzii,Birds,I,FALSE,taxon,6177960,2481759,EXACT,SUBSPECIES,Animalia,Aves,Calidris,,02009L0147-20190626,Calidris alpina schinzii
Calonectris diomedea,Birds,I,FALSE,taxon,2481521,2481521,EXACT,SPECIES,Animalia,Aves,Calonectris,,02009L0147-20190626,Calonectris diomedea
Caprimulgus europaeus,Birds,I,FALSE,taxon,8109681,8109681,EXACT,SPECIES,Animalia,Aves,Caprimulgus,,02009L0147-20190626,Caprimulgus europaeus
Certhia brachydactyla dorotheae,Birds,I,FALSE,taxon,4408795,7806848,EXACT,SUBSPECIES,Animalia,Aves,Certhia,,02009L0147-20190626,Certhia brachydactyla dorotheae
Charadrius alexandrinus,Birds,I,FALSE,taxon,2480311,2480311,EXACT,SPECIES,Animalia,Aves,Charadrius,,02009L0147-20190626,Charadrius alexandrinus
Charadrius morinellus,Birds,I,FALSE,taxon,2480281,2480281,EXACT,SPECIES,Animalia,Aves,Charadrius,Eudromias morinellus,02009L0147-20190626,Charadrius morinellus (Eudromias morinellus)
Chersophilus duponti,Birds,I,FALSE,taxon,2490674,2490674,EXACT,SPECIES,Animalia,Aves,Chersophilus,,02009L0147-20190626,Chersophilus duponti
Chlamydotis undulata,Birds,I,FALSE,taxon,2474864,2474864,EXACT,SPECIES,Animalia,Aves,Chlamydotis,,02009L0147-20190626,Chlamydotis undulata
