scientific_name,directive,annex
Aquila chrysaetos,Birds,I
Ciconia nigra,Birds,I
Bubo bubo,Birds,I
Tetrao urogallus,Birds,I
Falco peregrinus,Birds,I
Crex crex,Birds,I
Neophron percnopterus,Birds,I
Gyps fulvus,Birds,I
Pelecanus crispus,Birds,I
Gypaetus barbatus,Birds,I
Lanius collurio,Birds,I
Alectoris graeca,Birds,I
Ursus arctos,Habitats,II
Canis lupus,Habitats,II
Lynx lynx,Habitats,II
Rupicapra rupicapra balcanica,Habitats,II
Lutra lutra,Habitats,II
Rhinolophus ferrumequinum,Habitats,II
Myotis myotis,Habitats,II
Bombina variegata,Habitats,II
Triturus macedonicus,Habitats,II
Emys orbicularis,Habitats,II
Testudo hermanni,Habitats,II
Lucanus cervus,Habitats,II
Rosalia alpina,Habitats,II
Morimus funereus,Habitats,II
Dianthus scardicus,Habitats,II
Forsythia europaea,Habitats,II
Buxbaumia viridis,Habitats,II
Euplagia quadripunctaria,Habitats,II
