speciesKey,iucnRedListCategory,iucnRedListStatus
6258028,LC,Least Concern
1905383,NE,Not Evaluated
2469188,LC,Least Concern
7136582,NE,Not Evaluated
6366597,LC,Least Concern
3120946,NE,Not Evaluated
3802655,NE,Not Evaluated
2928978,NE,Not Evaluated
3112801,NE,Not Evaluated
2498415,LC,Least Concern
3189870,LC,Least Concern
7745240,LC,Least Concern
2542126,NE,Not Evaluated
4486328,NE,Not Evaluated
3145214,LC,Least Concern
4535827,NE,Not Evaluated
5219243,LC,Least Concern
2157242,NE,Not Evaluated
5152543,NE,Not Evaluated
3033558,NE,Not Evaluated
2882316,LC,Least Concern
2890920,NE,Not Evaluated
5362573,LC,Least Concern
9134585,NE,Not Evaluated
2888342,NE,Not Evaluated
2993094,NE,Not Evaluated
8168319,NE,Not Evaluated
5954958,LC,Least Concern
9616058,LC,Least Concern
2165951,NE,Not Evaluated
5743112,NE,Not Evaluated
8232412,NE,Not Evaluated
4492208,NE,Not Evaluated
2549730,NE,Not Evaluated
8165087,NE,Not Evaluated
8104397,LC,Least Concern
2482613,LC,Least Concern
3108983,NE,Not Evaluated
4532532,NE,Not Evaluated
3166655,NE,Not Evaluated
2888814,NE,Not Evaluated
1938810,LC,Least Concern
2490246,LC,Least Concern
3170040,NE,Not Evaluated
5231190,LC,Least Concern
7753992,NE,Not Evaluated
7270333,NE,Not Evaluated
4516754,NE,Not Evaluated
3023221,LC,Least Concern
2492521,LC,Least Concern
3118274,NE,Not Evaluated
1959682,NE,Not Evaluated
2985707,NE,Not Evaluated
4889932,NE,Not Evaluated
8060333,NE,Not Evaluated
2487871,LC,Least Concern
2490774,LC,Least Concern
2495093,LC,Least Concern
2481890,LC,Least Concern
9629160,LC,Least Concern
2480637,LC,Least Concern
5229126,LC,Least Concern
2490310,LC,Least Concern
1541832,NE,Not Evaluated
2490255,LC,Least Concern
5231240,LC,Least Concern
2484918,LC,Least Concern
2480906,LC,Least Concern
1909398,NE,Not Evaluated
2482553,LC,Least Concern
5739315,LC,Least Concern
2431783,LC,Least Concern
2491482,LC,Least Concern
5229493,LC,Least Concern
2480876,LC,Least Concern
11925463,NE,Not Evaluated
2888728,NE,Not Evaluated
2346633,LC,Least Concern
2441454,VU,Vulnerable
4454563,NE,Not Evaluated
7496350,NE,Not Evaluated
4989904,NE,Not Evaluated
8184903,NE,Not Evaluated
6027128,NE,Not Evaluated
7705930,LC,Least Concern
1077829,NE,Not Evaluated
2521208,NE,Not Evaluated
2477872,LC,Least Concern
8890062,NE,Not Evaluated
2882833,NE,Not Evaluated
2926995,NE,Not Evaluated
1938214,NE,Not Evaluated
1734826,NE,Not Evaluated
5392883,NE,Not Evaluated
11068129,NE,Not Evaluated
2710326,NE,Not Evaluated
1716128,NE,Not Evaluated
2926682,NE,Not Evaluated
1119288,VU,Vulnerable
2480773,LC,Least Concern
8914748,NE,Not Evaluated
5375388,NE,Not Evaluated
1688093,LC,Least Concern
9575859,NE,Not Evaluated
2458538,LC,Least Concern
1043472,NE,Not Evaluated
7626513,LC,Least Concern
8881331,LC,Least Concern
1223971,NE,Not Evaluated
8119241,NE,Not Evaluated
1434133,NE,Not Evaluated
2468799,NT,Near Threatened
7960979,LC,Least Concern
3114643,NE,Not Evaluated
8427624,NE,Not Evaluated
8051275,NE,Not Evaluated
6159223,LC,Least Concern
8200663,NE,Not Evaluated
7602797,NE,Not Evaluated
5359395,LC,Least Concern
2431781,LC,Least Concern
2149679,NE,Not Evaluated
2965201,NE,Not Evaluated
4306938,NE,Not Evaluated
1341976,NE,Not Evaluated
2753146,NE,Not Evaluated
2764179,NE,Not Evaluated
2482515,NE,Not Evaluated
2431776,VU,Vulnerable
2007097,NE,Not Evaluated
8896202,NE,Not Evaluated
1070887,NE,Not Evaluated
4485944,NE,Not Evaluated
1194863,NE,Not Evaluated
1625991,NE,Not Evaluated
4480485,NE,Not Evaluated
5411475,NE,Not Evaluated
5011181,NE,Not Evaluated
1043118,NE,Not Evaluated
7773743,NE,Not Evaluated
2008719,NE,Not Evaluated
6428353,LC,Least Concern
6063943,NE,Not Evaluated
4485906,NE,Not Evaluated
1493794,NE,Not Evaluated
1215181,NE,Not Evaluated
7339396,NE,Not Evaluated
7437438,NE,Not Evaluated
3811711,NE,Not Evaluated
9581355,NE,Not Evaluated
4486216,NE,Not Evaluated
4485776,NE,Not Evaluated
5733462,NE,Not Evaluated
2514774,NE,Not Evaluated
4452252,NE,Not Evaluated
9172281,LC,Least Concern
7306396,NE,Not Evaluated
5148487,NE,Not Evaluated
1911112,NE,Not Evaluated
3168201,NE,Not Evaluated
2009435,NE,Not Evaluated
1176471,NE,Not Evaluated
7267415,NE,Not Evaluated
7293238,NE,Not Evaluated
1929659,NE,Not Evaluated
5385604,NE,Not Evaluated
4532534,NE,Not Evaluated
5769172,NE,Not Evaluated
5667851,NE,Not Evaluated
4486241,NE,Not Evaluated
5350005,NE,Not Evaluated
5056529,NE,Not Evaluated
3085623,NE,Not Evaluated
6026420,NE,Not Evaluated
4452256,NE,Not Evaluated
1031470,NE,Not Evaluated
1864652,NE,Not Evaluated
4990191,NE,Not Evaluated
7854318,NE,Not Evaluated
4522049,NE,Not Evaluated
3029627,LC,Least Concern
5758838,NE,Not Evaluated
3165756,NE,Not Evaluated
4470765,NE,Not Evaluated
3045854,NE,Not Evaluated
2159474,NE,Not Evaluated
4553401,NE,Not Evaluated
3171915,LC,Least Concern
8881840,NE,Not Evaluated
5410877,NE,Not Evaluated
12207358,NE,Not Evaluated
4486816,NE,Not Evaluated
5219173,LC,Least Concern
4488376,NE,Not Evaluated
1136888,NE,Not Evaluated
2176858,NE,Not Evaluated
7172720,NE,Not Evaluated
4427759,NE,Not Evaluated
1790692,NE,Not Evaluated
6096723,NE,Not Evaluated
7266907,NE,Not Evaluated
4553405,NE,Not Evaluated
11470870,NE,Not Evaluated
5414991,NE,Not Evaluated
2169069,NE,Not Evaluated
3085895,NE,Not Evaluated
5412014,NE,Not Evaluated
2159735,NE,Not Evaluated
1664505,NE,Not Evaluated
4486439,NE,Not Evaluated
5369695,NE,Not Evaluated
7308294,NE,Not Evaluated
2684709,LC,Least Concern
5384741,NE,Not Evaluated
5318948,NE,Not Evaluated
2888292,NE,Not Evaluated
1043572,NE,Not Evaluated
7380533,NE,Not Evaluated
10060880,LC,Least Concern
4488812,NE,Not Evaluated
7339363,NE,Not Evaluated
1860765,NE,Not Evaluated
1692898,NE,Not Evaluated
1149372,NE,Not Evaluated
2103147,NE,Not Evaluated
4452258,NE,Not Evaluated
4492186,NE,Not Evaluated
1195043,NE,Not Evaluated
8138506,NE,Not Evaluated
3118216,NE,Not Evaluated
1967011,NE,Not Evaluated
2914110,NE,Not Evaluated
2795845,NE,Not Evaluated
1779690,NE,Not Evaluated
1898544,NE,Not Evaluated
1310811,NE,Not Evaluated
8583922,NE,Not Evaluated
1659094,NE,Not Evaluated
3096857,NE,Not Evaluated
2165513,NE,Not Evaluated
5410466,NE,Not Evaluated
8073364,NE,Not Evaluated
7327980,NE,Not Evaluated
4452146,NE,Not Evaluated
5347702,LC,Least Concern
3085424,NE,Not Evaluated
1096909,NE,Not Evaluated
2172729,NE,Not Evaluated
7410701,NE,Not Evaluated
1095904,NE,Not Evaluated
8242995,NE,Not Evaluated
3118526,NE,Not Evaluated
4987924,NE,Not Evaluated
8998684,NE,Not Evaluated
2816250,NE,Not Evaluated
8094697,NE,Not Evaluated
7790073,NE,Not Evaluated
1310824,NE,Not Evaluated
7815140,LC,Least Concern
1431748,NE,Not Evaluated
8400876,NE,Not Evaluated
5758859,NE,Not Evaluated
5409933,NE,Not Evaluated
4485898,NE,Not Evaluated
4491475,NE,Not Evaluated
6411747,NE,Not Evaluated
1920712,NE,Not Evaluated
7925535,NE,Not Evaluated
8165236,NE,Not Evaluated
4487518,NE,Not Evaluated
6437017,NE,Not Evaluated
5165705,NE,Not Evaluated
3032837,NE,Not Evaluated
3922007,NE,Not Evaluated
4487665,NE,Not Evaluated
2008880,NE,Not Evaluated
4488403,NE,Not Evaluated
1353236,NE,Not Evaluated
2079253,NE,Not Evaluated
2078821,NE,Not Evaluated
3171941,NE,Not Evaluated
4461877,NE,Not Evaluated
1678420,NE,Not Evaluated
9526078,NE,Not Evaluated
2160133,NE,Not Evaluated
8179794,NE,Not Evaluated
6274256,NE,Not Evaluated
5231770,LC,Least Concern
2480506,LC,Least Concern
9687165,LC,Least Concern
2492867,NT,Near Threatened
9515886,LC,Least Concern
2487883,LC,Least Concern
2480242,NT,Near Threatened
2475443,LC,Least Concern
2494422,LC,Least Concern
2480564,LC,Least Concern
5845582,LC,Least Concern
9362027,LC,Least Concern
2482065,LC,Least Concern
2294287,LC,Least Concern
5229490,LC,Least Concern
9705453,LC,Least Concern
2480487,LC,Least Concern
8109681,LC,Least Concern
2481725,LC,Least Concern
8049830,NE,Not Evaluated
1911461,NE,Not Evaluated
9761484,LC,Least Concern
5739361,LC,Least Concern
2480537,LC,Least Concern
2481912,LC,Least Concern
9701857,LC,Least Concern
2474156,LC,Least Concern
2480482,LC,Least Concern
2494543,LC,Least Concern
2492462,LC,Least Concern
2494686,LC,Least Concern
1938520,LC,Least Concern
2497306,LC,Least Concern
2480420,LC,Least Concern
6065841,LC,Least Concern
5137612,NE,Not Evaluated
2482492,LC,Least Concern
2481119,LC,Least Concern
2480666,LC,Least Concern
2473958,LC,Least Concern
2482048,LC,Least Concern
2480495,LC,Least Concern
2480863,LC,Least Concern
1898286,LC,Least Concern
2492956,LC,Least Concern
2481713,LC,Least Concern
9752617,LC,Least Concern
2494200,LC,Least Concern
2481714,LC,Least Concern
9797180,LC,Least Concern
9809229,LC,Least Concern
2497266,LC,Least Concern
9413670,LC,Least Concern
2493129,LC,Least Concern
2480910,LC,Least Concern
5231198,LC,Least Concern
2481062,VU,Vulnerable
2481909,LC,Least Concern
2481121,LC,Least Concern
2477927,LC,Least Concern
2495414,LC,Least Concern
2474055,NT,Near Threatened
6159273,LC,Least Concern
5868173,NE,Not Evaluated
2426805,LC,Least Concern
1626315,NE,Not Evaluated
6161347,LC,Least Concern
6161327,LC,Least Concern
2925892,NE,Not Evaluated
2491498,LC,Least Concern
2146584,NE,Not Evaluated
5249496,LC,Least Concern
4431801,NE,Not Evaluated
2477411,LC,Least Concern
7307319,NE,Not Evaluated
5414992,NE,Not Evaluated
1536009,NE,Not Evaluated
4490468,NE,Not Evaluated
7437802,NE,Not Evaluated
8411684,NE,Not Evaluated
8262702,NE,Not Evaluated
3033263,NE,Not Evaluated
5032718,NE,Not Evaluated
8409388,NE,Not Evaluated
10480031,NE,Not Evaluated
7874883,NE,Not Evaluated
3171697,NE,Not Evaluated
4553793,NE,Not Evaluated
2166135,NE,Not Evaluated
2542395,NE,Not Evaluated
2890560,NE,Not Evaluated
3172549,NE,Not Evaluated
5414989,NE,Not Evaluated
5743122,NE,Not Evaluated
8008282,LC,Least Concern
4493788,NE,Not Evaluated
2650617,NE,Not Evaluated
4485895,NE,Not Evaluated
8352976,NE,Not Evaluated
3189747,NE,Not Evaluated
1335213,NE,Not Evaluated
4299368,LC,Least Concern
2139961,NE,Not Evaluated
2134371,NE,Not Evaluated
5775892,NE,Not Evaluated
2152911,NE,Not Evaluated
2151378,NE,Not Evaluated
2151599,NE,Not Evaluated
2135387,NE,Not Evaluated
4550544,NE,Not Evaluated
8773033,NE,Not Evaluated
2487385,LC,Least Concern
2490604,LC,Least Concern
8000602,LC,Least Concern
2498255,VU,Vulnerable
4408759,NE,Not Evaluated
2490669,LC,Least Concern
7901064,LC,Least Concern
2495455,LC,Least Concern
2493052,LC,Least Concern
2478523,LC,Least Concern
2495708,VU,Vulnerable
2491557,LC,Least Concern
9752149,LC,Least Concern
7634625,LC,Least Concern
9537647,LC,Least Concern
6065824,NE,Not Evaluated
5228199,LC,Least Concern
2492576,LC,Least Concern
9274012,LC,Least Concern
6100954,NE,Not Evaluated
2492601,LC,Least Concern
8012314,LC,Least Concern
2481800,LC,Least Concern
2495696,LC,Least Concern
2480934,LC,Least Concern
2478031,LC,Least Concern
2481728,LC,Least Concern
2489160,LC,Least Concern
2495000,LC,Least Concern
9015784,LC,Least Concern
2484596,LC,Least Concern
2475532,LC,Least Concern
7660710,LC,Least Concern
5231918,LC,Least Concern
2492943,LC,Least Concern
2482513,LC,Least Concern
2493128,LC,Least Concern
6092830,LC,Least Concern
2491534,LC,Least Concern
2481035,LC,Least Concern
8332393,LC,Least Concern
2474831,LC,Least Concern
2490719,LC,Least Concern
2493091,LC,Least Concern
2487879,LC,Least Concern
9451184,LC,Least Concern
2487843,LC,Least Concern
9409796,LC,Least Concern
2492955,LC,Least Concern
2484916,LC,Least Concern
7788295,NT,Near Threatened
2475365,LC,Least Concern
2488949,LC,Least Concern
9282206,LC,Least Concern
5231438,LC,Least Concern
2474377,LC,Least Concern
2480726,LC,Least Concern
5739317,LC,Least Concern
2498259,NT,Near Threatened
9415596,LC,Least Concern
2492854,LC,Least Concern
2477968,LC,Least Concern
10095118,LC,Least Concern
2498388,LC,Least Concern
1427037,LC,Least Concern
1919712,NE,Not Evaluated
5346998,NE,Not Evaluated
1340344,NE,Not Evaluated
8622852,NE,Not Evaluated
1427067,LC,Least Concern
1894840,NE,Not Evaluated
5135513,NE,Not Evaluated
5333294,LC,Least Concern
5390618,NE,Not Evaluated
1820406,NE,Not Evaluated
2808330,NE,Not Evaluated
5141262,NE,Not Evaluated
1867928,NE,Not Evaluated
5421338,NE,Not Evaluated
2890668,NE,Not Evaluated
7555806,NE,Not Evaluated
4506278,NE,Not Evaluated
1954563,NE,Not Evaluated
5298908,NE,Not Evaluated
2879520,NE,Not Evaluated
8148822,NE,Not Evaluated
2441056,NE,Not Evaluated
6027089,NE,Not Evaluated
3171951,NE,Not Evaluated
3189767,LC,Least Concern
5219618,LC,Least Concern
8001799,NE,Not Evaluated
1080733,NE,Not Evaluated
5420852,NE,Not Evaluated
9568224,NE,Not Evaluated
9268470,LC,Least Concern
5751064,NE,Not Evaluated
7569075,VU,Vulnerable
2493367,LC,Least Concern
8211070,LC,Least Concern
2498036,LC,Least Concern
2498009,LC,Least Concern
9751099,LC,Least Concern
1426293,LC,Least Concern
1319599,NE,Not Evaluated
3149879,NE,Not Evaluated
1325195,NE,Not Evaluated
4459177,NE,Not Evaluated
8370958,NE,Not Evaluated
4470736,NE,Not Evaluated
5372693,NE,Not Evaluated
1340365,NE,Not Evaluated
5758736,NE,Not Evaluated
2984535,NE,Not Evaluated
2650625,NE,Not Evaluated
1340405,NE,Not Evaluated
5151589,NE,Not Evaluated
1763072,NE,Not Evaluated
2516847,NE,Not Evaluated
2769775,NE,Not Evaluated
3753369,NE,Not Evaluated
7762841,NE,Not Evaluated
1334821,NE,Not Evaluated
4535809,NE,Not Evaluated
1020926,NE,Not Evaluated
5220126,LC,Least Concern
2816176,LC,Least Concern
10828425,NE,Not Evaluated
2469065,LC,Least Concern
7339269,NE,Not Evaluated
4459660,NE,Not Evaluated
1579909,NE,Not Evaluated
7334270,LC,Least Concern
5751237,NE,Not Evaluated
4388646,NE,Not Evaluated
5249271,NE,Not Evaluated
2551542,LC,Least Concern
5048805,DD,Data Deficient
4392756,NE,Not Evaluated
4485722,NE,Not Evaluated
1687559,LC,Least Concern
2457224,LC,Least Concern
2444308,LC,Least Concern
8056420,NE,Not Evaluated
1929697,NE,Not Evaluated
3129044,NE,Not Evaluated
8731701,LC,Least Concern
12032836,NE,Not Evaluated
4485845,NE,Not Evaluated
9072021,NE,Not Evaluated
2888605,NE,Not Evaluated
3020791,LC,Least Concern
8105693,NE,Not Evaluated
2891079,NE,Not Evaluated
5352251,LC,Least Concern
2687937,LC,Least Concern
1710331,LC,Least Concern
1700310,NE,Not Evaluated
1683815,NE,Not Evaluated
2482054,LC,Least Concern
1694185,NE,Not Evaluated
2974811,LC,Least Concern
1688490,LC,Least Concern
3002461,NE,Not Evaluated
2752979,NE,Not Evaluated
4468901,NE,Not Evaluated
7459480,NE,Not Evaluated
5690287,NE,Not Evaluated
3495681,NE,Not Evaluated
1861797,NE,Not Evaluated
7270461,NE,Not Evaluated
1649571,NE,Not Evaluated
1652063,NE,Not Evaluated
1649565,NE,Not Evaluated
5886130,NE,Not Evaluated
5886155,NE,Not Evaluated
2182588,NE,Not Evaluated
1650482,NE,Not Evaluated
1654194,NE,Not Evaluated
1650313,NE,Not Evaluated
1652274,NE,Not Evaluated
1648899,NE,Not Evaluated
1651525,NE,Not Evaluated
1653175,NE,Not Evaluated
1651405,NE,Not Evaluated
5981165,NE,Not Evaluated
1652991,NE,Not Evaluated
1650857,NE,Not Evaluated
4548126,NE,Not Evaluated
1653124,NE,Not Evaluated
1650731,NE,Not Evaluated
5981161,NE,Not Evaluated
1650908,NE,Not Evaluated
1650338,NE,Not Evaluated
5886149,NE,Not Evaluated
1641188,NE,Not Evaluated
5981236,NE,Not Evaluated
1632309,NE,Not Evaluated
9301935,NE,Not Evaluated
2183577,NE,Not Evaluated
5981255,NE,Not Evaluated
5981170,NE,Not Evaluated
1632544,NE,Not Evaluated
1632375,NE,Not Evaluated
1631747,NE,Not Evaluated
1648886,NE,Not Evaluated
3085419,NE,Not Evaluated
7267113,NE,Not Evaluated
3808039,NE,Not Evaluated
3085413,NE,Not Evaluated
5356345,LC,Least Concern
11035581,NE,Not Evaluated
1710962,NE,Not Evaluated
2468095,LC,Least Concern
5361909,LC,Least Concern
3117424,NE,Not Evaluated
5260693,NE,Not Evaluated
3169131,LC,Least Concern
4490480,NE,Not Evaluated
8324121,LC,Least Concern
9626820,LC,Least Concern
2927324,NE,Not Evaluated
5334186,NE,Not Evaluated
2855860,LC,Least Concern
12193099,NE,Not Evaluated
8197849,NE,Not Evaluated
2856261,NE,Not Evaluated
1924494,NE,Not Evaluated
5124911,NE,Not Evaluated
5376075,NE,Not Evaluated
3412864,NE,Not Evaluated
5330639,NE,Not Evaluated
1686202,LC,Least Concern
2890541,NE,Not Evaluated
3189846,LC,Least Concern
3189866,LC,Least Concern
7505521,NE,Not Evaluated
3679859,NE,Not Evaluated
2880580,LC,Least Concern
5371699,NE,Not Evaluated
3189815,VU,Vulnerable
2812415,NE,Not Evaluated
4911839,NE,Not Evaluated
12205519,NE,Not Evaluated
2598526,NE,Not Evaluated
11341514,NE,Not Evaluated
2619324,NE,Not Evaluated
10705094,NE,Not Evaluated
12257099,NE,Not Evaluated
8668791,NE,Not Evaluated
2593060,NE,Not Evaluated
2599412,NE,Not Evaluated
8225376,NE,Not Evaluated
2808565,NE,Not Evaluated
5259057,NE,Not Evaluated
1821856,NE,Not Evaluated
4496950,NE,Not Evaluated
5414335,NE,Not Evaluated
7972010,NE,Not Evaluated
3105380,NE,Not Evaluated
5275132,NE,Not Evaluated
4448343,NE,Not Evaluated
2548311,NE,Not Evaluated
2857601,NE,Not Evaluated
3738478,NE,Not Evaluated
6363496,NE,Not Evaluated
6221746,NE,Not Evaluated
2547092,NE,Not Evaluated
4486826,NE,Not Evaluated
8068867,NE,Not Evaluated
5240922,NE,Not Evaluated
4911813,NE,Not Evaluated
5459251,NE,Not Evaluated
5359491,NE,Not Evaluated
5356581,LC,Least Concern
5285079,NT,Near Threatened
4522933,NE,Not Evaluated
1651126,NE,Not Evaluated
1652212,NE,Not Evaluated
2362955,NE,Not Evaluated
2433433,LC,Least Concern
2139028,NE,Not Evaluated
2139092,NE,Not Evaluated
2139116,NE,Not Evaluated
2139236,NE,Not Evaluated
7893880,NE,Not Evaluated
1653064,NE,Not Evaluated
2139235,NE,Not Evaluated
2139266,NE,Not Evaluated
1653695,NE,Not Evaluated
2139309,NE,Not Evaluated
2139450,NE,Not Evaluated
2139227,NE,Not Evaluated
2927078,NE,Not Evaluated
5249297,NE,Not Evaluated
5356517,LC,Least Concern
6268434,NE,Not Evaluated
7315162,NE,Not Evaluated
2888443,NE,Not Evaluated
7331666,NE,Not Evaluated
5241128,NE,Not Evaluated
5706486,LC,Least Concern
9444556,LC,Least Concern
5131142,NE,Not Evaluated
2487857,LC,Least Concern
2494441,LC,Least Concern
2888722,NE,Not Evaluated
2593405,NE,Not Evaluated
1677247,NE,Not Evaluated
1732416,NE,Not Evaluated
2426661,LC,Least Concern
2752849,NE,Not Evaluated
3172077,NE,Not Evaluated
4107873,NE,Not Evaluated
5356666,LC,Least Concern
7399841,NE,Not Evaluated
7331276,NE,Not Evaluated
5341187,LC,Least Concern
3690985,NE,Not Evaluated
3136333,NE,Not Evaluated
7979812,NE,Not Evaluated
2704922,NE,Not Evaluated
7625655,NE,Not Evaluated
7363846,NE,Not Evaluated
2681728,NE,Not Evaluated
2681729,NE,Not Evaluated
2676091,NE,Not Evaluated
9011379,NE,Not Evaluated
3922862,NE,Not Evaluated
3027648,NE,Not Evaluated
2679967,NE,Not Evaluated
4119220,NE,Not Evaluated
7841203,NE,Not Evaluated
4067104,NE,Not Evaluated
3640295,NE,Not Evaluated
5356461,LC,Least Concern
8105978,NE,Not Evaluated
2972610,NE,Not Evaluated
7307062,NE,Not Evaluated
3032719,NE,Not Evaluated
2700617,NE,Not Evaluated
2676224,NE,Not Evaluated
5369731,LC,Least Concern
2974946,NE,Not Evaluated
8180842,NE,Not Evaluated
7923515,NE,Not Evaluated
2689491,NE,Not Evaluated
2676100,NE,Not Evaluated
5365496,NE,Not Evaluated
8077224,LC,Least Concern
1798449,NE,Not Evaluated
1864358,NE,Not Evaluated
1427883,LC,Least Concern
5101678,NE,Not Evaluated
5414326,NE,Not Evaluated
7339315,NE,Not Evaluated
5258678,NE,Not Evaluated
5742496,NE,Not Evaluated
1690685,NE,Not Evaluated
9095397,NE,Not Evaluated
3171969,NE,Not Evaluated
5220170,LC,Least Concern
2520862,NE,Not Evaluated
5742390,NE,Not Evaluated
6097236,NE,Not Evaluated
8270406,NE,Not Evaluated
5156102,NE,Not Evaluated
1888484,NE,Not Evaluated
5217160,LC,Least Concern
5976740,NT,Near Threatened
2916975,NE,Not Evaluated
5371685,LC,Least Concern
1071240,NE,Not Evaluated
3172347,LC,Least Concern
3028699,NE,Not Evaluated
2747703,LC,Least Concern
2423435,LC,Least Concern
3033266,NE,Not Evaluated
3046224,NE,Not Evaluated
7332007,NE,Not Evaluated
5411465,NE,Not Evaluated
7984088,NE,Not Evaluated
5362008,NE,Not Evaluated
2810155,NE,Not Evaluated
3033289,NE,Not Evaluated
1932411,NE,Not Evaluated
1734704,NE,Not Evaluated
8153621,NE,Not Evaluated
4485798,NE,Not Evaluated
2722602,NE,Not Evaluated
2812375,NE,Not Evaluated
2797913,NE,Not Evaluated
1556243,NE,Not Evaluated
7308042,NE,Not Evaluated
2840460,LC,Least Concern
8231647,LC,Least Concern
9213153,NE,Not Evaluated
5331235,NE,Not Evaluated
2778437,LC,Least Concern
2812392,NE,Not Evaluated
2858581,LC,Least Concern
3731843,NE,Not Evaluated
5359499,NE,Not Evaluated
5358748,NE,Not Evaluated
5359018,NE,Not Evaluated
2553128,NE,Not Evaluated
3143034,NE,Not Evaluated
5392252,NE,Not Evaluated
4065790,NE,Not Evaluated
5358812,NE,Not Evaluated
1923019,NE,Not Evaluated
