speciesKey,vernacularName
6258028,Praying Mantis
1905383,Queen of Spain Fritillary
2469188,Common Wall Lizard
7136582,Alpen-Grasnelke
6366597,Gentiane De Koch
3120946,Burot
3802655,Belladonna
2928978,Bulmeurt
3112801,Spear Thistle
2498415,Eurasian Hoopoe
3189870,Sycamore
7745240,Red-Backed Shrike
2542126,Dyer's Mazegill
4486328,Harlequin Bug
3145214,Milk Thistle
4535827,Peacock
5219243,Red Fox
2157242,Triangulate Bud Spider
5152543,Balotterookwants
3033558,Skogsklematis
2890920,Blodstorkenebb
9134585,Yellow Stagshorn
2888342,Yellow Bird's-Nest
8168319,Fly Agaric
5954958,Cep
9616058,Common Kestrel
2165951,Goldenrod Crab Spider
5743112,Lesser Stag Beetle
4492208,Greater Horntail Wasp
2549730,Pipa
8165087,NA
8104397,Common Linnet
2482613,Spotted Nutcracker
3108983,Common Groundsel
4532532,Jersey Tiger
3166655,Raiponce Orbiculaire
2888814,Cut-Leaved Teasel
1938810,Apollo
2490246,Tree Pipit
3170040,Gelber Enzian
5231190,House Sparrow
7753992,Escargot Turc
7270333,Genzianella Del Pollino
4516754,Doodskopzweefvlieg
3023221,Blackthorn
2492521,Whinchat
3118274,Tansy
1959682,Purple-Barred Yellow
4889932,Reinrose
2487871,Coal Tit
2490774,Mistle Thrush
2495093,White-Throated Dipper
2481890,Great Cormorant
9629160,Red Crossbill
2480637,Eurasian Sparrowhawk
5229126,Black-Winged Stilt
2490310,Grey Wagtail
1541832,Hornet Hoverfly
2490255,Water Pipit
5231240,Northern Wheatear
2484918,Wallcreeper
2480906,Squacco Heron
1909398,Silver-Washed Fritillary
2482553,Alpine Chough
5739315,Black Redstart
2431783,Alpine Newt
2491482,Ortolan Bunting
5229493,Eurasian Jay
2480876,Little Egret
11925463,NA
2888728,Svarthyll
2346633,Hecht
2441454,Hermann's Tortoise
7496350,Blusher
4989904,Asian Lady Beetle
8184903,Scarlet Pimpernel
6027128,Sanikel
7705930,Wild Boar
2521208,Shaggy Bracket
2477872,Black Woodpecker
8890062,Common Rock-Rose
2926995,Whorled Clary
1938214,Scarce Swallowtail
1734826,Oak Eggar
5392883,Glandular Globe-Thistle
11068129,Makklav
2710326,Rabbetust
1716128,Maulwurfsgrille
2926682,Red Dead-Nettle
2480773,Glossy Ibis
8914748,Parasol
5375388,Shepherd's-Purse
1688093,Bellied Bright Bush-Cricket
2458538,Aesculapian Snake
1043472,Larch Ladybird
7626513,Cirl Bunting
8881331,Spotted Milkcap
1223971,Lixe Poudreux
8119241,Gestutzte Weide
1434133,Purolouhekas
2468799,Meadow Lizard
7960979,Stinging Nettle
3114643,Weg-Distel
8427624,Procumbent Yellow-Sorrel
8051275,Thyme Broomrape
6159223,Sand Lizard
8200663,Ivy-Leaved Toadflax
7602797,NA
5359395,Narrow Clover
2431781,Alpine Salamander
2149679,Marbled Cellar Spider
2965201,Black Medick
4306938,Bunte Erlenblattzikade
1341976,Honey Bee
2753146,Martagon Lily
2764179,Asiatic Dayflower
2482515,Hooded Crow
2431776,Fire Salamander
8896202,NA
4485944,Langschild Grasschildwants
1625991,Havikskruidboorvlieg
4480485,Green Tiger Beetle
5011181,Acorn Weevil
1043118,Cream-Streaked Ladybird
7773743,Rytisylkikuoriainen
2008719,Fangschreckenwanze
6428353,Fireweed
6063943,Felsen-Greiskraut
9581355,NA
4485776,Gemeine Stinkwanze
5733462,Nymferandtege
2514774,Crown Rust of Oats
4452252,22-Spot Ladybird
7306396,Fuchsschwanz-Ziest
5148487,Grey Pine Carpet
1911112,Large Heath
7267415,Kleiner Strahlensame
1929659,Scarce Copper
4532534,Scarlet Tiger
5769172,NA
4486241,Elzenpropjeswants
5350005,Crown Vetch
3085623,Steinbrech-Felsennelke
6026420,Berg-Sesel
4452256,12-Spot Ladybird
1864652,Humming-Bird Hawk-Moth
4990191,Sevenspotted Lady Beetle
7854318,Marbled White
4522049,Drain Fly
3029627,Blodtopp
5758838,Kuomalude
4470765,Violet Ground Beetle
2159474,Eikenbladspin
4553401,Rektangelmejer
3171915,Gratiole Officinale
5410877,NA
12207358,NA
4486816,Elzensmalsnuit
5219173,Wolf
1136888,Bleggul Blomsterbuk
2176858,Goldaugenspringspinne
7172720,Thick-Leaved Stonecrop
4427759,Valekaavikas
1790692,Four-Spotted
4553405,Okalukki
11470870,NA
5414991,Rusty Foxglove
2169069,Halbeingefasster Springer
3085895,Perennial Knawel
5412014,Nettle-Leaved Bellflower
2159735,Vierfleck-Kreuzspinne
1664505,Butsnudet Rovflue
4486439,Ketoharmolude
5369695,Prakthumleblom
7308294,Berg-Gamander
2684709,Einer
5384741,Rose Campion
5318948,Elleborine Minore
1043572,14-Spotted Ladybird Beetle
4488812,Buckliger Nimrod
1860765,Ballotelangsprietmot
1692898,Great Green Bush-Cricket
1149372,Getreidebock
4452258,16-Spot Ladybird
4492186,Jeneverbesbladwep
1195043,Strawberry Root Weevil
8138506,Beech Leaf Miner
3118216,Skjermkrage
1967011,Paarsbandspanner
2914110,Rundmaure
1779690,Minor Shoulder-Knot
1898544,c-Falter
1310811,Groefkopveldwesp
1659094,Kerbzangen-Raubfliege
3096857,Elfenbenstistel
2165513,Halmkrabbenspinne
5410466,NA
7327980,Axljung
3085424,Maiden Pink
2172729,Bonte Springspin
