gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue
6499982618,"Upupa epops Linnaeus, 1758",Upupa epops,Eurasian Hoopoe,Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa,SPECIES,2498415,2498415,LC,Least Concern,2026-08-09T08:25,2026,8,9,41.869689,20.617743,1114,,,Dragash / Dragaš,Prizren,"Parku Kombëtar ""Sharri""",National Park,FALSE,HUMAN_OBSERVATION,,,Liridon Shala,Liridon Shala,iNaturalist,Observations,390635624,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6499894510,"Lanius collurio Linnaeus, 1758",Lanius collurio,Red-Backed Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,SPECIES,7745240,7745240,LC,Least Concern,2026-07-06T10:27:51,2026,7,6,42.685273,21.223988,138,,,Prishtinë / Priština,Prishtinë / Priština,Gërmia,Protected Landscape,FALSE,HUMAN_OBSERVATION,,,phil6213,phil6213,iNaturalist,Observations,387536896,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6499277069,"Falco tinnunculus Linnaeus, 1758",Falco tinnunculus,Common Kestrel,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,SPECIES,9616058,9616058,LC,Least Concern,2026-08-09T07:32,2026,8,9,41.905294,20.635192,488,,,Dragash / Dragaš,Prizren,"Parku Kombëtar ""Sharri""",National Park,FALSE,HUMAN_OBSERVATION,,,Liridon Shala,Liridon Shala,iNaturalist,Observations,390636213,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6499007403,"Linaria cannabina (Linnaeus, 1758)",Linaria cannabina,Common Linnet,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,SPECIES,8104397,8104397,LC,Least Concern,2026-08-21T17:25:29,2026,8,21,42.35992,20.993483,4,,,Ferizaj / Uroševac,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,,,arberzaimi,arberzaimi,iNaturalist,Observations,393214207,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6499003497,"Nucifraga caryocatactes (Linnaeus, 1758)",Nucifraga caryocatactes,Spotted Nutcracker,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,SPECIES,2482613,2482613,LC,Least Concern,2026-08-11T09:11:04,2026,8,11,42.670039,20.086752,,,,Pejë / Peć,Pejë / Peć,,,FALSE,HUMAN_OBSERVATION,,,alamettyr,alamettyr,iNaturalist,Observations,390490018,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6498751189,"Anthus trivialis (Linnaeus, 1758)",Anthus trivialis,Tree Pipit,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,SPECIES,2490246,2490246,LC,Least Concern,2024-07-11T09:41,2024,7,11,42.558027,20.078723,8,,,Deçan / Dečani,Gjakovë / Đakovica,,,FALSE,HUMAN_OBSERVATION,,,Justine,Sergey Simonov,iNaturalist,Observations,232030373,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC0_1_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6498735780,"Passer domesticus (Linnaeus, 1758)",Passer domesticus,House Sparrow,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,SPECIES,5231190,5231190,LC,Least Concern,2026-08-17T14:30:22,2026,8,17,42.660362,21.161545,5,,,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,,,lythyathan,lythyathan,iNaturalist,Observations,392333458,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6498306652,"Saxicola rubetra (Linnaeus, 1758)",Saxicola rubetra,Whinchat,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,SPECIES,2492521,2492521,LC,Least Concern,2026-08-09T07:51,2026,8,9,41.92978,20.653684,244,,,Dragash / Dragaš,Prizren,"Parku Kombëtar ""Sharri""",National Park,FALSE,HUMAN_OBSERVATION,,,Liridon Shala,Liridon Shala,iNaturalist,Observations,390636054,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6498300729,"Lanius collurio Linnaeus, 1758",Lanius collurio,Red-Backed Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,SPECIES,7745240,7745240,LC,Least Concern,2026-08-09T09:14,2026,8,9,41.925796,20.643245,2626,,,Dragash / Dragaš,Prizren,,,FALSE,HUMAN_OBSERVATION,,,Liridon Shala,Liridon Shala,iNaturalist,Observations,390635824,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6487476996,"Periparus ater (Linnaeus, 1758)",Periparus ater,Coal Tit,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,SPECIES,2487871,2487871,LC,Least Concern,2026-08-02,2026,8,2,42.769894,20.249493,2,,Rožaje,Pejë / Peć,Pejë / Peć,,,FALSE,HUMAN_OBSERVATION,2,,User 439892,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,
