gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue,directive,annex
6499894510,"Lanius collurio Linnaeus, 1758",Lanius collurio,Red-Backed Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,SPECIES,7745240,7745240,LC,Least Concern,2026-07-06T10:27:51,2026,7,6,42.685273,21.223988,138,,,Prishtinë / Priština,Prishtinë / Priština,Gërmia,Protected Landscape,FALSE,HUMAN_OBSERVATION,,,phil6213,phil6213,iNaturalist,Observations,387536896,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Birds,I
6498300729,"Lanius collurio Linnaeus, 1758",Lanius collurio,Red-Backed Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,SPECIES,7745240,7745240,LC,Least Concern,2026-08-09T09:14,2026,8,9,41.925796,20.643245,2626,,,Dragash / Dragaš,Prizren,,,FALSE,HUMAN_OBSERVATION,,,Liridon Shala,Liridon Shala,iNaturalist,Observations,390635824,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Birds,I
6486909221,"Himantopus himantopus (Linnaeus, 1758)",Himantopus himantopus,Black-Winged Stilt,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,SPECIES,5229126,5229126,LC,Least Concern,2026-08-09,2026,8,9,42.818441,20.956013,35,,Vucitrn,Vushtrri / Vucitrn,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,4,,User 1062993,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,,Birds,I
6486522259,"Himantopus himantopus (Linnaeus, 1758)",Himantopus himantopus,Black-Winged Stilt,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,SPECIES,5229126,5229126,LC,Least Concern,2026-08-07,2026,8,7,42.783693,20.991151,50,,Vucitrn,Vushtrri / Vucitrn,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,1,,User 1222333,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,,Birds,I
6485996035,"Ardeola ralloides (Scopoli, 1769)",Ardeola ralloides,Squacco Heron,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,SPECIES,2480906,2480906,LC,Least Concern,2026-08-07,2026,8,7,42.768105,21.002416,50,,Vucitrn,Vushtrri / Vucitrn,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,1,,User 1222333,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,,Birds,I
6485786390,"Emberiza hortulana Linnaeus, 1758",Emberiza hortulana,Ortolan Bunting,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,SPECIES,2491482,2491482,LC,Least Concern,2026-08-09,2026,8,9,42.772311,20.814255,5,,Srbica,Skënderaj / Srbica,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,1,,User 1222333,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,,Birds,I
6485747229,"Egretta garzetta (Linnaeus, 1766)",Egretta garzetta,Little Egret,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,SPECIES,2480876,2480876,LC,Least Concern,2026-08-01,2026,8,1,42.891324,20.866863,10,,Kosovska Mitrovica,Mitrovica / Kosovska Mitrovica,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,1,,User 1222333,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,,Birds,I
6481011829,"Dryocopus martius (Linnaeus, 1758)",Dryocopus martius,Black Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,SPECIES,2477872,2477872,LC,Least Concern,2026-07-06T11:43:40,2026,7,6,42.677381,21.219652,186,,,Prishtinë / Priština,Prishtinë / Priština,Gërmia,Protected Landscape,FALSE,HUMAN_OBSERVATION,,,phil6213,phil6213,iNaturalist,Observations,386398314,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Birds,I
6480238115,"Plegadis falcinellus (Linnaeus, 1766)",Plegadis falcinellus,Glossy Ibis,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,SPECIES,2480773,2480773,LC,Least Concern,2026-04-21T23:07:32,2026,4,21,42.576925,21.047138,22,,,Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,,,Granit Ahmeti,Axel Gosseries,iNaturalist,Observations,351820684,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Birds,I
6451605094,"Lanius collurio Linnaeus, 1758",Lanius collurio,Red-Backed Shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,SPECIES,7745240,7745240,LC,Least Concern,2026-07-13T16:08,2026,7,13,41.997722,20.697188,2,,,Dragash / Dragaš,Prizren,,,FALSE,HUMAN_OBSERVATION,,,Liridon Shala,Liridon Shala,iNaturalist,Observations,383259871,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Birds,I
