gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue,directive,annex
6499502700,Pyrus communis L.,Pyrus communis,Pear,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,SPECIES,5362573,5362573,LC,Least Concern,2026-08-12T13:04:15,2026,8,12,42.369433,21.046703,2,,,Ferizaj / Uroševac,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,,,arberzaimi,arberzaimi,iNaturalist,Observations,390611703,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6498954361,"Euplagia quadripunctaria (Poda, 1761)",Euplagia quadripunctaria,Jersey Tiger,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Euplagia,SPECIES,4532532,4532532,NE,Not Evaluated,2026-08-09T14:43:50,2026,8,9,42.758325,21.27415,3,,,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,,,lythyathan,lythyathan,iNaturalist,Observations,390217588,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6481446425,"Testudo hermanni Gmelin, 1789",Testudo hermanni,Hermann's Tortoise,Animalia,Chordata,Testudines,,Testudinidae,Testudo,SPECIES,2441454,2441454,VU,Vulnerable,2026-08-01T09:14:47,2026,8,1,43.24128,20.770875,27505,,,Leposaviq / Leposavić,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,,,Miloš Kostić,Miloš Kostić,iNaturalist,Observations,387115393,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6480300875,"Morimus funereus Mulsant, 1862",Morimus funereus,Cerambice Funereo,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Morimus,SPECIES,1119288,1119288,VU,Vulnerable,2026-08-07T09:42:27,2026,8,7,42.197729,20.7763,13930,,,Prizren,Prizren,Gryka e lumit Bistrica,Natural Monument,FALSE,HUMAN_OBSERVATION,,,Jona,cpu,iNaturalist,Observations,389003457,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6470166463,"Salamandra atra Laurenti, 1768",Salamandra atra,Alpine Salamander,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,SPECIES,2431781,2431781,LC,Least Concern,2026-07-01T08:21:32,2026,7,1,42.590545,20.088275,4,,,Deçan / Dečan,Gjakovë / Đakovica,"Parku Kombëtar ""Bjeshkët e Nemuna""",National Park,FALSE,HUMAN_OBSERVATION,,,markcrg,Kahleo Thompson,iNaturalist,Observations,377203218,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6452475949,"Testudo hermanni Gmelin, 1789",Testudo hermanni,Hermann's Tortoise,Animalia,Chordata,Testudines,,Testudinidae,Testudo,SPECIES,2441454,2441454,VU,Vulnerable,2026-06-20T11:41,2026,6,20,42.684013,21.201878,27599,,,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,,,Chris Springsfeld,Chris Springsfeld,iNaturalist,Observations,374606825,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6452262650,"Canis familiaris Linnaeus, 1758",Canis lupus,Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,SPECIES,5219200,5219173,LC,Least Concern,2025-11-29T08:54,2025,11,29,42.370667,21.149503,,,,Ferizaj / Uroševac,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,,,Piotr R.,Piotr R.,iNaturalist,Observations,382958877,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6451770385,"Canis familiaris Linnaeus, 1758",Canis lupus,Wolf,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,SPECIES,5219200,5219173,LC,Least Concern,2025-11-29T17:11,2025,11,29,42.369954,21.135849,127,,,Ferizaj / Uroševac,Ferizaj / Uroševac,,,FALSE,HUMAN_OBSERVATION,,,Piotr R.,Piotr R.,iNaturalist,Observations,382959933,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6431610634,"Lucanus cervus (Linnaeus, 1758)",Lucanus cervus,Stag Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,SPECIES,5743122,5743122,NE,Not Evaluated,2026-06-30T22:16:47,2026,6,30,42.899184,20.864946,325,,,Mitrovicë e Veriut / Severna Kosovska Mitrovica,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,,,AnaMarija Staletović,AnaMarija Staletović,iNaturalist,Observations,377104532,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
6431031734,"Morimus funereus Mulsant, 1862",Morimus funereus,Cerambice Funereo,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Morimus,SPECIES,1119288,1119288,VU,Vulnerable,2026-05-06T08:36:27,2026,5,6,42.208145,20.751617,,,,Prizren,Prizren,,,FALSE,HUMAN_OBSERVATION,,,Paulius Rupšas,dendzoscarab,iNaturalist,Observations,362289821,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,Habitats,II
