gbifID,scientificName,species,vernacularName,kingdom,phylum,class,order,family,genus,taxonRank,taxonKey,speciesKey,iucnRedListCategory,iucnRedListStatus,eventDate,year,month,day,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,locality,municipality,district,protectedArea,protectedAreaDesignation,strictlyProtected,basisOfRecord,individualCount,establishmentMeans,recordedBy,identifiedBy,institutionCode,collectionCode,catalogNumber,datasetKey,license,issue
6481446425,"Testudo hermanni Gmelin, 1789",Testudo hermanni,Hermann's Tortoise,Animalia,Chordata,Testudines,,Testudinidae,Testudo,SPECIES,2441454,2441454,VU,Vulnerable,2026-08-01T09:14:47,2026,8,1,43.24128,20.770875,27505,,,Leposaviq / Leposavić,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,,,Miloš Kostić,Miloš Kostić,iNaturalist,Observations,387115393,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6480300875,"Morimus funereus Mulsant, 1862",Morimus funereus,Cerambice Funereo,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Morimus,SPECIES,1119288,1119288,VU,Vulnerable,2026-08-07T09:42:27,2026,8,7,42.197729,20.7763,13930,,,Prizreni / Prizren,Prizren,Gryka e lumit Bistrica,Natural Monument,FALSE,HUMAN_OBSERVATION,,,Jona,cpu,iNaturalist,Observations,389003457,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6469735218,"Salamandra salamandra (Linnaeus, 1758)",Salamandra salamandra,Fire Salamander,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,SPECIES,2431776,2431776,VU,Vulnerable,2026-07-22T09:01:16,2026,7,22,42.729938,20.163069,2598,,,Pejë / Peć,Pejë / Peć,"Parku Kombëtar ""Bjeshkët e Nemuna""",National Park,FALSE,HUMAN_OBSERVATION,,,SILVIA SORBI,Keemy Wille,iNaturalist,Observations,383958312,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6452475949,"Testudo hermanni Gmelin, 1789",Testudo hermanni,Hermann's Tortoise,Animalia,Chordata,Testudines,,Testudinidae,Testudo,SPECIES,2441454,2441454,VU,Vulnerable,2026-06-20T11:41,2026,6,20,42.684013,21.201878,27599,,,Prishtinë / Priština,Prishtinë / Priština,,,FALSE,HUMAN_OBSERVATION,,,Chris Springsfeld,Chris Springsfeld,iNaturalist,Observations,374606825,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6447711053,"Falco vespertinus Linnaeus, 1766",Falco vespertinus,Red-Footed Falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,SPECIES,2481062,2481062,VU,Vulnerable,2026-05-03,2026,5,3,42.813415,20.980078,3,,Vucitrn,Vushtrri / Vucitrn,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,1,,User 1304767,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,
6441790552,"Salamandra salamandra (Linnaeus, 1758)",Salamandra salamandra,Fire Salamander,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,SPECIES,2431776,2431776,VU,Vulnerable,2026-07-10T15:55,2026,7,10,42.717438,20.007589,4,,,Pejë / Peć,Pejë / Peć,,,FALSE,HUMAN_OBSERVATION,,,Andre Hosper,Andre Hosper,iNaturalist,Observations,380036878,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6441405925,"Salamandra salamandra (Linnaeus, 1758)",Salamandra salamandra,Fire Salamander,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Salamandra,SPECIES,2431776,2431776,VU,Vulnerable,2026-07-10T15:54:55,2026,7,10,42.717438,20.007586,13,,,Pejë / Peć,Pejë / Peć,,,FALSE,HUMAN_OBSERVATION,,,Andre Hosper,Andre Hosper,iNaturalist,Observations,380090201,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_NC_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6431031734,"Morimus funereus Mulsant, 1862",Morimus funereus,Cerambice Funereo,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Morimus,SPECIES,1119288,1119288,VU,Vulnerable,2026-05-06T08:36:27,2026,5,6,42.208145,20.751617,,,,Prizreni / Prizren,Prizren,,,FALSE,HUMAN_OBSERVATION,,,Paulius Rupšas,dendzoscarab,iNaturalist,Observations,362289821,50c9509d-22c7-4a22-a47d-8c48425ef4a7,CC_BY_4_0,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6424692341,"Falco vespertinus Linnaeus, 1766",Falco vespertinus,Red-Footed Falcon,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,SPECIES,2481062,2481062,VU,Vulnerable,2026-05-03,2026,5,3,42.590171,21.60912,71,,Kosovska Kamenica,Kamenicë / Kosovska Kamenica,Gjilan / Gnjilane,,,FALSE,HUMAN_OBSERVATION,1,,User 1062993,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,
6424689347,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2026-02-08,2026,2,8,42.579813,21.048453,35,,"Lake 1, RSBAT01",Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,21,,User 1062993,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,
6424641647,"Streptopelia turtur (Linnaeus, 1758)",Streptopelia turtur,European Turtle-Dove,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,SPECIES,2495708,2495708,VU,Vulnerable,2025-07-20,2025,7,20,42.783239,20.815288,15,,Srbica,Skënderaj / Srbica,Mitrovicë / Kosovska Mitrovica,,,FALSE,HUMAN_OBSERVATION,1,,User 1222333,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,
6424575391,"Streptopelia turtur (Linnaeus, 1758)",Streptopelia turtur,European Turtle-Dove,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,SPECIES,2495708,2495708,VU,Vulnerable,2026-05-09,2026,5,9,42.578549,21.046822,35,,Kosovo Polje,Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,2,,User 1062993,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,
6424347713,"Aythya ferina (Linnaeus, 1758)",Aythya ferina,Common Pochard,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,SPECIES,2498255,2498255,VU,Vulnerable,2026-04-05,2026,4,5,42.582512,21.05401,141,,"Lake 6, RSBAT06",Fushë Kosovë / Kosovo Polje,Prishtinë / Priština,Ligatina e Hencit/ Radevës,Wetlands,FALSE,HUMAN_OBSERVATION,3,,User 1062993,,,,,8a863029-f435-446a-821e-275f4f641165,CC_BY_NC_4_0,
