natda_id,national_id,site_name,designation_code,designated_area_type,iucn_management_category,reported_area_ha,designation_year,ecosystem_type,management_plan,designation,designation_sq,authority,area_km2,records,species,records_per_km2,geometry
555547192,NP_002,"Parku Kombëtar ""Bjeshkët e Nemuna""",XK01,designatedSite,II,62488,2012,terrestrial,,National Park,Park Kombëtar,Ministry of Environment and Spatial Planning,625.4985150622218,2799,1042,4.4748307671387,boundary
392171,NP_001,"Parku Kombëtar ""Sharri""",XK01,designatedSite,II,53469,2012,terrestrial,,National Park,Park Kombëtar,Ministry of Environment and Spatial Planning,535.0964485394343,2625,1031,4.905657675667696,boundary
555588622,PN_003,Mali Pashtrik dhe Liqeni i Vërmices,XK04,designatedSite,V,5934,2015,terrestrial,,Nature Park,Park i Natyrës,Ministry of Environment and Spatial Planning,59.388611104987774,298,141,5.017797090307309,boundary
555589865,NR_013,Shutmani,XK02,strictProtectionBoundary,Ia,5057,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,50.6106621441363,159,125,3.141630503611611,boundary
392183,NM_014,Gryka e Rugovës,XK06,designatedSite,III,4301,1985,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,43.05565882717985,399,303,9.2670745464966,boundary
392256,PL_004,Gërmia,XK05,designatedSite,V,1949,1987,terrestrial,,Protected Landscape,Peizazh i Mbrojtur,Municipal Authorities,19.478458737561425,1186,425,60.88777433467918,boundary
392163,NR_003,Bjeshka e Kozhnjerit - Maja e Ropsit,XK02,strictProtectionBoundary,Ia,1110.57,1955,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,11.114503420435428,157,99,14.125687316928216,boundary
555589868,NR_016,Koritniku,XK02,strictProtectionBoundary,Ia,818,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,8.180390162398837,91,35,11.124163786011271,boundary
555589874,NR_022,Bistra,XK02,strictProtectionBoundary,Ia,642.12,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,6.425744909388617,28,24,4.357471451922931,boundary
392255,NM_083,Ujëvarat e Mirushës,XK06,designatedSite,III,598.4,2012,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,5.988869554932875,214,151,35.732953946831884,boundary
392164,NR_007,Oshlaku,XK02,strictProtectionBoundary,Ia,550.47,1960,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,5.504669464857571,8,6,1.4533116022810997,boundary
555589873,NR_021,Dupnica,XK02,strictProtectionBoundary,Ia,484,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,4.843212657679073,0,0,0,boundary
555589867,NR_015,Pashallare,XK02,strictProtectionBoundary,Ia,400,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,3.996337396618407,1,1,0.2502291225075673,boundary
555589870,NR_018,Lumbardhi,XK02,strictProtectionBoundary,Ia,304,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,3.042250826439187,21,18,6.902783891944742,boundary
555560532,NM_100,Shpella e Ponorcit,XK06,designatedSite,III,279,2014,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,2.7926729997422024,8,5,2.86463900382841,boundary
392166,NR_004,Rusenica,XK02,strictProtectionBoundary,Ia,270,1955,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,2.7016660289223826,0,0,0,boundary
392169,NR_011,Kamilja,XK02,strictProtectionBoundary,Ib,228,1988,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,2.2844749736872463,0,0,0,boundary
392182,NM_013,Gryka e lumit Klina,XK06,designatedSite,III,205,1985,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,2.0522516536361666,0,0,0,boundary
555589871,NR_019,Luboteni,XK02,strictProtectionBoundary,Ia,202.16,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,2.021626602705932,220,50,108.82326128155003,boundary
392175,NM_008,Gryka e lumit Bistrica,XK06,designatedSite,III,200,1976,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,2.001758284362166,20,19,9.991216300310073,boundary
555589872,NR_020,Kobilica,XK02,strictProtectionBoundary,Ia,199,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,1.9950571048444081,1,1,0.5012387853820298,boundary
392184,NM_017,Kanioni i Drinit të Bardhë te Ura e Fshajtë,XK06,designatedSite,III,198,1986,terrestrial,,Natural Monument,Monument Natyre,Municipal and Govermental Authorities,1.9834525807946994,23,17,11.595941452144377,boundary
392162,NR_006,Maja e Arnenit,XK02,strictProtectionBoundary,Ia,145.48,1960,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,1.4548025598644843,33,26,22.68349046833817,boundary
555589866,NR_014,Bredhiku,XK02,strictProtectionBoundary,Ia,123.16,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,1.2315648396437884,40,27,32.47900452530733,boundary
555560533,SAC_001,Ligatina e Hencit/ Radevës,XK07,designatedSite,V,109.5,2014,terrestrial,,Wetlands,Ligatinat,Ministry of Environment and Spatial Planning,1.0955757063929512,13346,207,12181.723200069915,boundary
392165,NR_009,Malet e Prilepit,XK02,strictProtectionBoundary,Ia,106.04,1963,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,1.0597901213658512,3,3,2.8307491639322113,boundary
555589869,NR_017,Gryka,XK02,strictProtectionBoundary,Ia,103.98,2016,terrestrial,,Strict Nature Reserve,Rezervat Strik i Natyrës,Ministry of Environment and Spatial Planning,1.0397906205215948,0,0,0,boundary
